NYISOName,PTID,Zone,UnitType,FuelType,Latitude,Longitude,maxPower,minPower,maxRampAgc,maxRamp10,maxRamp30,maxRamp60,HeatRateLM_R2,HeatRateQM_R2,BusName,NCOST,cost_1,cost_0
CPV_VALLEY___CC2,323722,G,Combined Cycle,Natural Gas,41.413,-74.435,362,221,3.283333333,32.83333333,98.5,197,0.924874711,0.936563699,77,1,19.95562426,-347.1266301
Caithness_CC_1,323624,K,Combined Cycle,Natural Gas,40.8142,-72.9403,373,247,2.725,27.25,81.75,163.5,0.961133497,0.961376263,80,1,20.87461727,-165.3090892
Carr St.-E. Syr,24060,C,Combined Cycle,Natural Gas,43.0611,-76.0819,82,15,0.891666667,8.916666667,26.75,53.5,0.989839008,0.992010408,51,1,26.20601012,449.2581534
Carthage Energy,23857,E,Combined Cycle,Natural Gas,43.9842,-75.6225,61,0,1.016666667,10.16666667,30.5,61,0,0,47,1,21.06708,0
Castleton Energy Center,23900,F,Combined Cycle,Natural Gas,42.5375,-73.7433,78,39,0.641666667,6.416666667,19.25,38.5,0.966388254,0.971311971,42,1,26.23642566,-88.51987762
Cayuga 1,23584,C,Steam Turbine,Coal,42.6028,-76.6336,166,59,1.266666667,12.66666667,38,76,0.994675913,0.994749268,65,1,26.55842195,315.7635368
Danskammer 1,23586,G,Steam Turbine,Natural Gas,41.573,-73.9646,74,7,0.65,6.5,19.5,39,0.91984563,0.926364393,77,1,33.54526573,206.7138852
Danskammer 2,23589,G,Steam Turbine,Natural Gas,41.573,-73.9646,70,7.75,0.733333333,7.333333333,22,44,0.871739477,0.870670104,77,1,31.33698382,238.9519652
Danskammer 3,23590,G,Steam Turbine,Natural Gas,41.573,-73.9646,147,3.85,1.208333333,12.08333333,36.25,72.5,0.958350449,0.958496387,77,1,23.22953659,454.2250767
Danskammer 4,23591,G,Steam Turbine,Natural Gas,41.573,-73.9646,243,4.9,1.825,18.25,54.75,109.5,0.978263783,0.977459205,77,1,21.07134317,545.2217082
EMPIRE_CC_1,323656,F,Combined Cycle,Natural Gas,42.6296,-73.749,327,161,2.9,29,87,174,0.974450811,0.977306002,42,1,18.53551646,274.8038406
EMPIRE_CC_2,323658,F,Combined Cycle,Natural Gas,42.6296,-73.749,327,159,3.125,31.25,93.75,187.5,0.978220097,0.98052889,42,1,18.25320921,309.5368432
East River 1,323558,J,Combined Cycle,Natural Gas,40.7281,-73.9742,223,88,2.283333333,22.83333333,68.5,137,0.99480635,0.995797117,82,1,22.73763933,1262.054468
East River 2,323559,J,Combined Cycle,Natural Gas,40.7281,-73.9742,227,83,2.325,23.25,69.75,139.5,0.985620378,0.986302005,82,1,22.34965841,1305.197626
Far Rockaway GT1,24212,K,Jet Engine,Natural Gas,40.6106,-73.7614,60,36,0.658333333,6.583333333,19.75,39.5,0.837216218,0.892843625,79,1,71.64190174,-2181.993435
Far Rockaway GT2,23815,K,Jet Engine,Kerosene,40.6106,-73.7614,54,23.5,0.65,6.5,19.5,39,0.934903285,0.939237716,79,1,322.890876,-8374.146351
Flynn,23794,K,Combined Cycle,Natural Gas,40.8153,-73.0644,111,25,0.908333333,9.083333333,27.25,54.5,0.979935625,0.980766899,80,1,27.94103597,862.2982357
Fortistar - N.Tonawanda,24026,A,Combined Cycle,Natural Gas,43.0483,-78.8539,51,12,0.508333333,5.083333333,15.25,30.5,0.964204554,0.964682897,57,1,25.42805089,271.5704889
