busIdx,busType,u,name,Vn,vmax,vmin,v0,a0,xcoord,ycoord,area,zone,owner,numGen,sumGenP0,sumGenQ0,numLoad,sumLoadP0,sumLoadQ0,zoneID
65,2,1,GESONIDGE,115,1.1,0.9,1.04,0.274990586,-76.978,42.629,2,1,1,1,0.91,0.51625,1,0.91,0,C
66,1,1,WATERCURE,345,1.1,0.9,1.01975,0.364313047,-76.203,41.862,2,1,1,0,0,0,0,0,0,C
67,1,1,WRHL,230,1.1,0.9,1.00265,0.291143609,-77.041,41.952,2,1,1,0,0,0,0,0,0,C
68,2,1,HILLSIDE,115,1.1,0.9,0.99,0.222410797,-76.714,42.15,2,1,1,1,0.66,-0.0014,1,2.11,0.41,C
70,1,1,BINGHAMTON,230,1.1,0.9,0.99894,0.236774857,-75.988,42.014,2,1,1,0,0,0,0,0,0,C
71,2,1,BINGHAMTON,115,1.1,0.9,1,0.193979384,-75.789,42.33,2,1,1,1,1.34,-3.7366,1,3.71,0.53,C
72,2,1,LAPEER,115,1.1,0.9,1.05,0.17659765,-76.093,42.635,2,1,1,1,1.5,3.79422,0,0,0,C
48,2,1,MOSES E,230,1.1,0.9,1.05,0.262021045,-74.821,44.846,2,1,1,1,4,1.07452,0,0,0,D
49,1,1,PLATTSBURGH,115,1.1,0.9,0.96523,-0.019481365,-74.134,44.699,2,1,1,0,0,0,1,2.08,0.17,D
38,1,1,GILBOA,345,1.1,0.9,1.0421,0.121740206,-74.88,42.336,2,1,1,0,0,0,0,0,0,E
43,1,1,EDIC,345,1.1,0.9,1.04908,0.145612819,-75.24,42.894,2,1,1,0,0,0,0,0,0,E
44,1,1,PORTER,230,1.1,0.9,1.04792,0.114661151,-75.136,43.013,2,1,1,0,0,0,0,0,0,E
45,1,1,PORTER,115,1.1,0.9,1.04349,0.068891636,-75.24,43.131,2,1,1,0,0,0,1,2.56,0.17,E
46,1,1,COLTON,115,1.1,0.9,1.04781,0.107948614,-75.051,44.428,2,1,1,0,0,0,2,0.23,-0.425,E
47,2,1,MOSES W,230,1.1,0.9,1.03,0.203842239,-75.211,44.654,2,1,1,1,4,-0.03268,1,5.28,1,E
69,1,1,BINGHAMTON,345,1.1,0.9,1.01948,0.25020342,-75.397,42.009,2,1,1,0,0,0,0,0,0,E
40,1,1,NEW SEATHED,230,1.1,0.9,1.03072,0.010056587,-74.066,42.646,2,1,1,0,0,0,0,0,0,F
41,1,1,ROTTERDAM,115,1.1,0.9,1.02634,-0.058833304,-73.78,43.086,2,1,1,0,0,0,1,7,1.25,F
42,2,1,ALBANY,115,1.1,0.9,1.04,-0.044793875,-73.628,42.702,2,1,1,1,3.7,1.34949,1,1.77,0.17,F
37,1,1,NEW SEATHED,345,1.1,0.9,1.04419,0.080393356,-73.923,42.494,2,1,1,0,0,0,0,0,0,F
39,1,1,LEEDS,345,1.1,0.9,1.041,0.057140334,-74.001,42.042,2,1,1,0,0,0,0,0,0,G
73,1,1,PLEASANT VLY,345,1.1,0.9,1.03292,0.028581512,-73.641,41.58,3,1,1,0,0,0,0,0,0,G
75,1,1,RAMAPO,138,1.1,0.9,1.04944,0.022045254,-74.861,41.078,3,1,1,0,0,0,0,0,0,G
76,1,1,RAMAPO,345,1.1,0.9,1.04639,0.013917255,-74.311,41.174,3,1,1,0,0,0,0,0,0,G
77,1,1,BUCHANAN,345,1.1,0.9,1.03539,0.009526007,-74.12,41.36,3,1,1,0,0,0,0,0,0,G
74,1,1,MILLWOOD,345,1.1,0.9,1.02708,0.005199336,-73.769,41.304,3,1,1,0,0,0,1,1.02,0,H
